Country,PopnF1960,PopnF1961,PopnF1962,PopnF1963,PopnF1964,PopnF1965,PopnF1966,PopnF1967,PopnF1968,PopnF1969,PopnF1970,PopnF1971,PopnF1972,PopnF1973,PopnF1974,PopnF1975,PopnF1976,PopnF1977,PopnF1978,PopnF1979,PopnF1980,PopnF1981,PopnF1982,PopnF1983,PopnF1984,PopnF1985,PopnF1986,PopnF1987,PopnF1988,PopnF1989,PopnF1990,PopnF1991,PopnF1992,PopnF1993,PopnF1994,PopnF1995,PopnF1996,PopnF1997,PopnF1998,PopnF1999,PopnF2000,PopnF2001,PopnF2002,PopnF2003,PopnF2004,PopnF2005,PopnF2006,PopnF2007,PopnF2008,PopnF2009,PopnF2010,PopnF2011,PopnF2012,PopnF2013,PopnF2014,PopnF2015,PopnM1960,PopnM1961,PopnM1962,PopnM1963,PopnM1964,PopnM1965,PopnM1966,PopnM1967,PopnM1968,PopnM1969,PopnM1970,PopnM1971,PopnM1972,PopnM1973,PopnM1974,PopnM1975,PopnM1976,PopnM1977,PopnM1978,PopnM1979,PopnM1980,PopnM1981,PopnM1982,PopnM1983,PopnM1984,PopnM1985,PopnM1986,PopnM1987,PopnM1988,PopnM1989,PopnM1990,PopnM1991,PopnM1992,PopnM1993,PopnM1994,PopnM1995,PopnM1996,PopnM1997,PopnM1998,PopnM1999,PopnM2000,PopnM2001,PopnM2002,PopnM2003,PopnM2004,PopnM2005,PopnM2006,PopnM2007,PopnM2008,PopnM2009,PopnM2010,PopnM2011,PopnM2012,PopnM2013,PopnM2014,PopnM2015
Sao Tome and Principe,28510,28870,29145,29440,29902,30628,31667,32966,34402,35800,37035,38053,38899,39669,40508,41515,42727,44095,45527,46894,48103,49124,49995,50772,51541,52364,53254,54196,55193,56241,57337,58493,59710,60956,62185,63368,64489,65567,66650,67804,69080,70494,72029,73658,75339,77040,78753,80487,82247,84042,85878,87755,89669,91615,93588,95585,35745,35679,35284,34741,34307,34169,34390,34908,35638,36440,37216,37936,38637,39357,40162,41092,42162,43341,44568,45758,46850,47823,48697,49513,50330,51193,52110,53068,54075,55132,56238,57407,58636,59893,61133,62326,63457,64543,65634,66798,68084,69509,71056,72699,74393,76106,77831,79577,81348,83154,85002,86891,88815,90771,92754,94759
Saudi Arabia,2034344,2099452,2169221,2243036,2319920,2399391,2481604,2567593,2658863,2757376,2864808,2981938,3109297,3248017,3399277,3564063,3741324,3931115,4136578,4361812,4608735,4879385,5170021,5469668,5763523,6040933,6297788,6536871,6763016,6984200,7206525,7430773,7655632,7882759,8113791,8349907,8592075,8840368,9093841,9350914,9610336,9872172,10136603,10402619,10668976,10934886,11199408,11462922,11727555,11996310,12271135,12552667,12839569,13129364,13418559,13704462,2052195,2119427,2193642,2273627,2357489,2444244,2534068,2628756,2730985,2844273,2971586,3114168,3272809,3449469,3646200,3864642,4103976,4364269,4648748,4961478,5304182,5677551,6077064,6492576,6910566,7320351,7718781,8105483,8476158,8826780,9154928,9459782,9742891,10007770,10259621,10503763,10739236,10969265,11208352,11475041,11781937,12135765,12531499,12955268,13386597,13810344,14220586,14620600,15015287,15413181,15819512,16235771,16656478,17071687,17467986,17835910
Senegal,1599004,1641150,1684771,1729899,1776594,1824930,1874809,1926289,1979780,2035824,2094762,2156954,2222187,2289543,2357732,2425919,2493788,2561889,2631318,2703623,2779978,2860675,2945542,3034710,3128198,3225966,3328034,3434299,3544394,3657819,3774104,3893380,4015454,4139170,4263051,4386167,4508050,4629349,4751655,4877215,5007745,5144043,5285996,5433333,5585420,5741953,5902668,6068241,6240373,6421310,6612511,6814715,7027056,7247388,7472657,7700593,1578556,1624408,1671650,1720519,1771345,1824378,1879459,1936494,1995834,2057939,2122992,2191545,2263155,2335834,2406891,2474572,2538061,2598424,2658127,2720676,2788673,2862866,2942719,3027972,3117942,3212058,3310152,3412257,3518146,3627559,3740097,3856179,3975282,4094977,4212085,4324579,4431388,4533835,4635268,4740426,4852833,4974035,5103461,5239987,5381596,5527041,5675762,5828989,5989330,6160314,6344280,6542288,6753052,6973653,7199900,7428680
Serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3841449,3847376,3874120,3902043,3921392,3867856,3866382,3858377,3846929,3836380,3827523,3824349,3824211,3819209,3812884,3803287,3789325,3774168,3757862,3742582,3727701,3699022,3682143,3665526,3649573,3632539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3744551,3748260,3772304,3797264,3813247,3757501,3751412,3738124,3720816,3704021,3688823,3679084,3672311,3661382,3650273,3637482,3622244,3607411,3592360,3578225,3563735,3535077,3516934,3498606,3481003,3462844
Seychelles,21285,21846,22391,22926,23463,24009,24558,25107,25655,26203,26749,27221,27809,28170,28636,29277,29872,30525,30735,31029,31330,31713,31888,31837,32030,32322,32587,34095,34326,34619,34841,35314,35446,36144,37079,37614,38186,38674,39488,40320,40716,40776,42056,41572,41367,41457,42166,42171,42897,42878,43974,42805,43272,44176,44981,46099,20415,21043,21651,22250,22859,23491,24141,24804,25479,26162,26851,27474,28220,28722,29301,30015,30632,31261,31415,31657,31931,32322,32525,32498,32687,32922,33065,34404,34429,34548,34666,35125,35317,36109,37126,37690,38231,38645,39358,40090,40415,40426,41667,41209,41108,41401,42434,42862,44059,44420,45796,44636,45031,45773,46378,47320
Sierra Leone,1118132,1133012,1148318,1164047,1180196,1196787,1213844,1231456,1249801,1269104,1289549,1311198,1334084,1358324,1384037,1411305,1440237,1470820,1502851,1536038,1570187,1604364,1638499,1674208,1713750,1758237,1809451,1865586,1919902,1963260,1989599,1996852,1988475,1970867,1953266,1942972,1940649,1945911,1963602,1999281,2056194,2137406,2240265,2355086,2468341,2570190,2657102,2731545,2797041,2859620,2923754,2989924,3056584,3123890,3191708,3259945,1063569,1077157,1091263,1105843,1120827,1136212,1151957,1168211,1185396,1204061,1224602,1247197,1271753,1298056,1325760,1354609,1384590,1415787,1448150,1481632,1516219,1551004,1585847,1622322,1662621,1707807,1759651,1816359,1871176,1914951,1941609,1949047,1940707,1923024,1905293,1894835,1892404,1897561,1914873,1949519,2004515,2082792,2181889,2292615,2402126,2501081,2586112,2659563,2724797,2787574,2852148,2918984,2986573,3054969,3123919,3193239
Singapore,779088,808621,835467,861524,888320,913800,939467,962303,980265,996019,1012415,1031862,1051703,1071978,1090334,1106708,1122100,1138198,1152492,1167473,1182576,1240755,1296187,1313135,1338957,1342591,1344336,1368716,1408252,1453950,1514069,1558613,1605710,1645824,1697623,1750402,1824695,1889711,1958448,1977722,2015604,2073717,2095465,2067316,2095927,2148522,2219826,2317437,2447211,2524724,2571630,2626690,2692065,2735676,2771017,2803884,867312,893779,914733,933476,953280,973100,994933,1015297,1031735,1046481,1062085,1081038,1100697,1121022,1139466,1155892,1171200,1187102,1201108,1216027,1231369,1292080,1350279,1367926,1393264,1393366,1389037,1406073,1437856,1476951,1533063,1576470,1624988,1667647,1721425,1774104,1846009,1906327,1968765,1981001,2012283,2064295,2080485,2047510,2070737,2117240,2181539,2271162,2392185,2462849,2505102,2556998,2620372,2663486,2698707,2731118
Slovak Republic,2058669,2119885,2142446,2163994,2186660,2208841,2229897,2249775,2268289,2286971,2298010,2308797,2329647,2353315,2378651,2404628,2431028,2457687,2483688,2509436,2531330,2551152,2572562,2593055,2612735,2632196,2650323,2666884,2682806,2697499,2711120,2714940,2717506,2729535,2741874,2751379,2758573,2764931,2769816,2773763,2771089,2767073,2767078,2766184,2766407,2767283,2767818,2768860,2771346,2775099,2777745,2781408,2786238,2789333,2792132,2794857,2009426,2071782,2095742,2118023,2140681,2162142,2181769,2199592,2215626,2231636,2240213,2248652,2266975,2288130,2310972,2334477,2358479,2382814,2406437,2429537,2448485,2464953,2482537,2498916,2514362,2529572,2543515,2555956,2567790,2578443,2588067,2588354,2587510,2595770,2604457,2610620,2614788,2618360,2620700,2622257,2617631,2611794,2609834,2607190,2605873,2605524,2605236,2605762,2607887,2611307,2613683,2616976,2621341,2624060,2626517,2628944
Slovenia,825568,830677,836029,843318,851186,859456,868946,877258,882893,885754,889994,896069,902865,910389,915644,925248,939888,952439,963936,974934,984546,986333,986707,990997,994376,998134,1010158,1022431,1025638,1026817,1028328,1029577,1028699,1026740,1025678,1025514,1023829,1020832,1016767,1015930,1017984,1019449,1021223,1022493,1023225,1024015,1025028,1027506,1025453,1031464,1033631,1034587,1036502,1038254,1039722,1040683,759152,763454,767620,773653,780928,789704,800959,812270,821653,828120,834897,842266,849368,856308,860488,868333,880361,889938,898612,907665,916769,920198,923627,931324,937778,943507,955806,967345,969558,969534,969833,969852,967799,965006,963765,964358,964799,965124,964862,967115,970941,972611,973307,973240,973787,976459,981840,990616,995863,1008205,1014952,1018256,1020657,1021699,1022258,1022848
Small states,7303563,7444903,7589318,7734804,7880162,8022855,8160956,8295572,8431270,8570084,8714180,8865627,9021843,9180831,9342020,9506140,9670569,9837188,10007068,10185828,10374513,10572932,10781796,10995096,11211660,11433288,11657965,11885590,12112677,12338389,12556962,12778812,12985332,13184760,13385943,13588896,13793835,14000833,14210598,14425724,14647815,14854594,15059978,15267017,15481539,15708610,15949320,16203438,16466977,16727774,16998046,17272486,17554169,17839428,18124193,18406732,6945523,7081897,7221737,7364202,7509190,7655107,7800780,7946804,8095735,8247550,8402958,8563531,8727500,8893431,9061519,9233109,9405584,9580636,9760197,9950914,10154335,10370451,10599490,10834911,11074396,11318533,11565330,11814639,12061858,12304788,12536711,12768372,12982441,13187332,13391690,13597050,13804952,14016384,14232746,14456379,14688933,14908330,15128714,15364699,15637406,15961104,16343303,16775669,17231630,17667902,18074680,18438241,18768431,19072703,19364798,19656160
Solomon Islands,54631,56463,58402,60422,62484,64565,66645,68750,70955,73367,76057,79055,82328,85806,89386,92993,96600,100225,103881,107599,111399,115286,119244,123248,127266,131276,135268,139259,143284,147396,151632,156009,160520,165155,169895,174729,179646,184655,189784,195069,200533,206183,211994,217917,223883,229838,235765,241664,247526,253345,259118,264836,270498,276114,281699,287268,63238,64940,66666,68441,70303,72282,74382,76604,78971,81509,84235,87159,90271,93548,96952,100454,104042,107717,111472,115306,119215,123202,127258,131354,135453,139533,143578,147609,151678,155862,160217,164755,169464,174335,179355,184507,189792,195204,200705,206250,211803,217352,222899,228435,233958,239468,244951,250411,255884,261422,267059,272812,278664,284571,290472,296323
Somalia,1392497,1422204,1452886,1484641,1517587,1551809,1589697,1631764,1674247,1711880,1742271,1758566,1765027,1783351,1843010,1962464,2153826,2403715,2673985,2911358,3078329,3159957,3169647,3132948,3088852,3065745,3072479,3100344,3139447,3173392,3191257,3189892,3176758,3163993,3168520,3202100,3269281,3365300,3481164,3603387,3721970,3834295,3942815,4048655,4154475,4262228,4372003,4482776,4594267,4706069,4818184,4930328,5043470,5160392,5284751,5419167,1363883,1392479,1422058,1452719,1484586,1517749,1554547,1595481,1636864,1673534,1703149,1719002,1725268,1743176,1801562,1918491,2105810,2350434,2615064,2847603,3011378,3091773,3101891,3066723,3024400,3002680,3010244,3038563,3077884,3112064,3130358,3129639,3117259,3105251,3110391,3144340,3211607,3307481,3423067,3545019,3663446,3775758,3884388,3990449,4096579,4204710,4314936,4426239,4538322,4650758,4763530,4876342,4990160,5107765,5232818,5367937
South Africa,8699286,8934896,9183975,9442414,9704423,9966020,10225358,10484153,10746312,11017557,11301912,11600980,11913183,12235547,12563621,12894330,13226167,13560497,13900519,14250865,14614576,14993806,15386826,15788196,16190258,16588010,16976552,17358454,17744964,18151909,18589172,19062730,19564945,20075565,20566444,21017796,21421509,21784650,22121208,22452472,22793899,23013780,23300833,23599952,23909734,24229154,24558476,24898139,25247516,25605811,25972632,26347902,26732378,27127597,27535636,27958223,8697081,8915149,9138360,9367525,9603743,9847927,10099872,10359632,10628619,10908608,11200590,11505826,11823306,12148991,12477319,12804526,13127973,13449258,13773927,14109955,14462567,14835068,15224380,15621717,16014694,16395003,16756995,17104623,17450634,17813222,18204318,18629637,19081843,19543974,19992051,20409014,20788707,21136856,21462822,21781258,22102957,22299157,22554649.882872403,22818241.898926698,23091966.9913724,23377516.243965797,23675328.484986603,23985705.9909288,24310057.2955342,24650002.1102008,25006800.3622277,25381443.3578159,25774137.0772335,26184358.6100823,26611098.739161998,27053753.682029396
South Asia,276022848,281829375,287859373,294046257,300541560,307228576,314147899,321287925,328655288,336209138,343956491,351846615,359929075,368267577,376859717,385763389,394983286,404503899,414314020,424387931,434680281,445097033,455794676,466691141,477785721,489072668,500543471,512182255,523962458,535853980,547828445,559874406,571978172,584138150,596352701,608625308,620941008,633280800,645628838,657958969,670247227,682486530,694660325,706752996,718744773,730622882,742378872,754016549,765553286,777014355,788434124,799811295,811139411,822431934,833710585,844971799,296013259,302313861,308841752,315525245,322531550,329735205,337178095,344846403,352750549,360851429,369158906,377622947,386293063,395223712,404395067,413856922,423607676,433637623,443952896,454551848,465404959,476424602,487767794,499332435,511092882,523027100,535116037,547353976,559743187,572294062,585004869,597877915,610884095,623985347,637127915,650278515,663402910,676493543,689564814,702635922,715712343,728801686,741867544,754848027,767658538,780241731,792570739,804669075,816594195,828430433,840255438,852078626,863880896,875667098,887441995,899189499
South Asia (IDA & IBRD),276022848,281829375,287859373,294046257,300541560,307228576,314147899,321287925,328655288,336209138,343956491,351846615,359929075,368267577,376859717,385763389,394983286,404503899,414314020,424387931,434680281,445097033,455794676,466691141,477785721,489072668,500543471,512182255,523962458,535853980,547828445,559874406,571978172,584138150,596352701,608625308,620941008,633280800,645628838,657958969,670247227,682486530,694660325,706752996,718744773,730622882,742378872,754016549,765553286,777014355,788434124,799811295,811139411,822431934,833710585,844971799,296013259,302313861,308841752,315525245,322531550,329735205,337178095,344846403,352750549,360851429,369158906,377622947,386293063,395223712,404395067,413856922,423607676,433637623,443952896,454551848,465404959,476424602,487767794,499332435,511092882,523027100,535116037,547353976,559743187,572294062,585004869,597877915,610884095,623985347,637127915,650278515,663402910,676493543,689564814,702635922,715712343,728801686,741867544,754848027,767658538,780241731,792570739,804669075,816594195,828430433,840255438,852078626,863880896,875667098,887441995,899189499
South Sudan,1470785,1500177,1530935,1563060,1596572,1631498,1667861,1705686,1745008,1785870,1828328,1872464,1918369,1966137,2015867,2067680,2120832,2175285,2232620,2294986,2363468,2438419,2517917,2597903,2672937,2738760,2796640,2847131,2884809,2902861,2898084,2866035,2812551,2757308,2726969,2740259,2805637,2916809,3059556,3212241,3359200,3496097,3628136,3760542,3901986,4058628,4230323,4413937,4609046,4814737,5029624,5254515,5487680,5722079,5948520,6160580,1484259,1510935,1539055,1568626,1599686,1632269,1666393,1702068,1739327,1778209,1818769,1861083,1905236,1951313,1999404,2049619,2101224,2154182,2210045,2270926,2337892,2411289,2489228,2567720,2641421,2706147,2763164,2813022,2850361,2868444,2864106,2832963,2780796,2727064,2698130,2712512,2778586,2890142,3033132,3186175,3333799,3471720,3605101,3739153,3882502,4041280,4215336,4401558,4599552,4808439,5026851,5255607,5492943,5731731,5962664,6179232
Spain,15665452,15801535,15938770,16071470,16225027,16395668,16558438,16757896,16972660,17133918,17316919,17516772,17699745,17884123,18068461,18253598,18437270,18618728,18790809,18950514,19098111,19230656,19344255,19438192,19520422,19594558,19658394,19716235,19765745,19804298,19831103,19887051,19988742,20094952,20190985,20277965,20357824,20436069,20510750,20580845,20656756,20781708,21056554,21418877,21769505,22118997,22474524,22873494,23225520,23427273,23544840,23654920,23710854,23680291,23651838,23662301,14789548,14937715,15084596,15225181,15384168,15558624,15724756,15925051,16140474,16307136,16497612,16707718,16904724,17104824,17304874,17504302,17700542,17892910,18074089,18240816,18393054,18527975,18641757,18733333,18809942,18874954,18926230,18968580,19001194,19023466,19036219,19079325,19168943,19266310,19358123,19446085,19532028,19621320,19712759,19806030,19911108,20068704,20375004,20768768,21152390,21534158,21922795,22353309,22728586,22935673,23032057,23087777,23062201,22939754,22829044,22781693
Sri Lanka,4700176,4843946,4989010,5068655,5234886,5371723,5514559,5651432,5799971,5934431,6070041,6164227,6256136,6376663,6478694,6589230,6703362,6818832,6945178,7088148,7227960,7282239,7409855,7535084,7661655,7791228,7923982,8059833,8195411,8328157,8455191,8577440,8694604,8804889,8905610,8996049,9074185,9141597,9204793,9272416,9350405,9440387,9532603,9627696,9724668,9822597,9922339,10023228,10124847,10227227,10328924,10430390,10531986,10635165,10749529,10865824,5195824,5324054,5453990,5513345,5668114,5792277,5924441,6051568,6192029,6317569,6443959,6525773,6604864,6714337,6805306,6906770,7013638,7123168,7244822,7383852,7519040,7564761,7686145,7803916,7921345,8039772,8159018,8279167,8397589,8512843,8622809,8728560,8829396,8923111,9006390,9077951,9135815,9181403,9220207,9259584,9304595,9356613,9406397,9455304,9503332,9550403,9597661,9644772,9692153,9740773,9790076,9840610,9893014,9949835,10021471,10100176
St. Lucia,46698,47369,48008,48639,49305,50031,50831,51686,52550,53358,54067,54658,55152,55597,56065,56605,57238,57950,58718,59504,60284,61045,61800,62586,63449,64422,65521,66724,67975,69195,70329,71352,72283,73162,74046,74980,75979,77027,78091,79123,80092,80979,81802,82612,83480,84453,85554,86755,87995,89187,90268,91215,92050,92801,93519,94240,43203,43544,44078,44758,45508,46272,47046,47840,48631,49389,50095,50731,51306,51864,52469,53165,53973,54876,55833,56788,57700,58548,59350,60152,61019,61994,63099,64308,65557,66759,67851,68807,69651,70430,71216,72060,72983,73967,74975,75950,76857,77671,78416,79155,79982,80954,82102,83391,84734,86009,87129,88063,88840,89504,90126,90759
St. Vincent and the Grenadines,42998,43657,44247,44777,45262,45714,46132,46516,46885,47265,47672,48115,48589,49076,49553,5e4,50412,50795,51153,51497,51832,52159,52474,52771,53046,53292,53510,53699,53857,53978,54061,54106,54118,54098,54052,53985,53897,53793,53689,53608,53565,53566,53608,53678,53758,53833,53902,53969,54029,54079,54115,54134,54137,54142,54168,54230,37950,38487,38959,39390,39814,40258,40728,41220,41730,42253,42785,43325,43876,44440,45019,45614,46227,46854,47481,48092,48674,49219,49728,50214,50696,51185,51687,52193,52676,53103,53448,53705,53883,53999,54077,54137,54181,54208,54234,54271,54332,54423,54542,54676,54805,54916,55006,55080,55136,55176,55201,55207,55197,55185,55192,55232
Sub-Saharan Africa,115114109,117822941,120643207,123573201,126609067,129749204,132995630,136353978,139830866,143434623,147172871,151048676,155066143,159234471,163565089,168066480,172743965,177598274,182624362,187820571,193180687,198704087,204393430,210251537,216285199,222495531,228880460,235440087,242177446,249102231,256216653,263535067,271049225,278720348,286498803,294347542,302260221,310262281,318400466,326745178,335346859,344086620,353160691,362534793,372233092,382272410,392664923,403409824,414494734,425896312,437599604,449597105,461895492,474486293,487362837,500519874,113155010,115837132,118623307,121517650,124524396,127647673,130891703,134260107,137755815,141381473,145140514,149034341,153068113,157252656,161602112,166126514,170831437,175715572,180770424,185989520,191363208,196890165,202573479,208415022,214420748,220591723,226926870,233427877,240099222,246952469,253992383,261231749,268665491,276267615,284005105,291851947,299808393,307894474,316141030,324595551,333292095,342111859,351250823.882872,360681557.898927,370436929.991372,380540945.243966,391004840.484987,401827689.990929,413006287.295534,424528869.110201,436388172.36222804,448580812.357816,461109751.07723403,473955873.61008203,487097100.73916197,500516682.68202996
Sub-Saharan Africa (excluding high income),115092824,117801095,120620816,123550275,126585604,129725196,132971073,136328871,139805211,143408420,147146123,151021455,155038334,159206301,163536453,168037203,172714092,177567749,182593627,187789542,193149358,198672374,204361542,210219700,216253169,222463209,228847872,235405992,242143119,249067612,256181813,263499753,271013779,278684205,286461723,294309928,302222035,310223607,318360978,326704858,335306142,344045844,353118635,362493221,372191726,382230952,392622757,403367653,414451837,425853434,437555630,449554300,461852220,474442117,487317856,500473775,113134595,115816089,118601656,121495400,124501537,127624181,130867561,134235303,137730336,141355311,145113662,149006867,153039893,157223934,161572811,166096499,170800806,175684311,180739009,185957863,191331276,196857843,202540954,208382524,214388061,220558801,226893806,233393473,240064794,246917921,253957716,261196624,268630174,276231505,283967980,291814257,299770162,307855829,316101672,324555461,333251681,342071433,351209156.882872,360640348.898927,370395820.991372,380499545.243966,390962406.484987,401784827.990929,412962228.295534,424484449.110201,436342376.36222804,448536176.357816,461064720.07723403,473910100.61008203,487050722.73916197,500469362.68202996
Sub-Saharan Africa (IDA & IBRD countries),115114109,117822941,120643207,123573201,126609067,129749204,132995630,136353978,139830866,143434623,147172871,151048676,155066143,159234471,163565089,168066480,172743965,177598274,182624362,187820571,193180687,198704087,204393430,210251537,216285199,222495531,228880460,235440087,242177446,249102231,256216653,263535067,271049225,278720348,286498803,294347542,302260221,310262281,318400466,326745178,335346859,344086620,353160691,362534793,372233092,382272410,392664923,403409824,414494734,425896312,437599604,449597105,461895492,474486293,487362837,500519874,113155010,115837132,118623307,121517650,124524396,127647673,130891703,134260107,137755815,141381473,145140514,149034341,153068113,157252656,161602112,166126514,170831437,175715572,180770424,185989520,191363208,196890165,202573479,208415022,214420748,220591723,226926870,233427877,240099222,246952469,253992383,261231749,268665491,276267615,284005105,291851947,299808393,307894474,316141030,324595551,333292095,342111859,351250823.882872,360681557.898927,370436929.991372,380540945.243966,391004840.484987,401827689.990929,413006287.295534,424528869.110201,436388172.36222804,448580812.357816,461109751.07723403,473955873.61008203,487097100.73916197,500516682.68202996
Sudan,3750787,3861911,3977722,4098421,4224210,4355303,4492041,4634706,4783399,4938169,5099194,5266364,5440128,5621874,5813392,6015889,6229847,6454697,6689255,6931777,7180874,7438243,7704346,7975309,8245957,8513773,8773035,9027535,9295490,9601721,9962092,10386284,10863868,11366034,11852285,12294025,12680239,13021027,13334724,13649476,13985800,14348414,14730681,15128253,15533195,15939533,16348312,16761800,17176599,17588428,17994934,18393712,18787440,19185097,19599009,20037863,3776663,3887973,4004075,4125192,4251555,4383400,4521071,4664839,4814797,4970983,5133564,5302424,5478009,5661700,5855282,6059952,6276188,6503413,6740433,6985491,7237189,7497228,7766069,8039811,8313248,8583846,8845817,9102966,9373656,9682912,10046712,10474833,10956720,11463193,11953251,12397945,12786148,13128097,13442335,13757332,14093864,14456728,14839297,15237333,15643014,16050470,16460744,16876160,17293539,17708870,18119951,18524481,18924980,19329998,19751265,20197019
Suriname,144976,149282,153508,157724,162038,166493,171182,175971,180407,183880,185986,186535,185737,184079,182267,180824,179946,179536,179474,179530,179558,179519,179550,179881,180817,182564,185209,188642,192621,196798,200910,204850,208654,212370,216100,219901,223809,227740,231501,234829,237559,239591,241029,242165,243406,245048,247193,249751,252588,255486,258283,260951,263538,266050,268511,270937,144996,148908,152822,156806,160957,165306,169955,174784,179328,182965,185282,186084,185581,184263,182837,181827,181422,181517,181989,182607,183219,183790,184443,185361,186794,188905,191764,195274,199230,203335,207366,211218,214918,218531,222180,225929,229844,233829,237607,240808,243192,244619,245242,245476,245906,246951,248760,251202,254069,257036,259858,262488,264997,267400,269737,272038
Swaziland,180179,184807,189530,194378,199390,204602,210026,215671,221566,227740,234219,241024,248162,255625,263398,271471,279894,288697,297830,307226,316863,326545,336342,346804,358676,372398,388307,405985,424188,441209,455845,467516,476628,484177,491657,500112,509992,520849,531757,541363,548764,553596,556390,558227,560644,564743,570884,578718,587768,597261,606612,615731,624759,633606,642211,650528,169054,172715,176189,179613,183185,187057,191269,195807,200700,205969,211625,217693,224175,231031,238198,245629,253370,261438,269730,278109,286510,294769,302991,311692,321577,333094,346483,361432,377162,392578,406883,419732,431319,442047,452566,463316,474514,485911,496937,506788,514951,521169,525805,529722,534131,539899,547320,556135,565982,576268,586536,596727,606935,617035,626901,636442
Sweden,3750884,3767872,3787785,3808159,3835702,3871123,3907378,3936868,3958842,3987235,4025986,4056132,4071355,4082165,4097950,4117999,4136409,4154254,4169309,4181354,4192895,4201129,4206776,4211712,4218007,4226642,4237225,4251323,4270315,4298182,4330965,4360274,4385767,4411263,4442669,4465894,4472771,4475011,4476994,4479684,4485694,4496163,4508841,4523262,4538273,4553231,4575273,4605335,4637155,4672608,4708516,4740280,4771738,4808863,4853667,4902495,3733772,3752126,3773803,3796169,3825652,3862730,3900419,3931063,3953431,3980837,4016815,4042202,4050945,4054147,4062005,4074438,4085877,4097286,4106290,4112324,4117636,4119374,4118487,4117321,4118598,4123744,4132604,4146481,4166174,4194782,4227870,4257101,4282300,4307298,4338076,4361045,4368227,4371051,4373980,4378190,4386415,4399797,4416117,4434967,4455258,4476341,4505232,4542757,4582482,4625907,4669610,4708933,4747636,4791516,4842443,4896691
Switzerland,2747111,2799518,2868525,2927427,2973184,3004813,3033634,3068874,3105547,3139102,3161069,3177766,3202914,3228050,3247196,3247582,3230946,3221940,3224001,3231820,3245382,3263137,3281518,3294378,3304782,3317968,3333900,3353555,3377033,3403345,3437574,3480142,3518288,3550220,3578479,3602348,3618158,3626716,3637275,3654335,3674461,3697196,3724499,3751085,3775180,3796878,3817402,3847587,3892160,3936174,3972384,4011746,4049513,4091510,4137391,4180599,2580716,2634776,2705290,2766820,2816044,2851659,2884368,2922911,2962167,2997285,3019808,3035633,3058042,3079297,3094209,3091050,3071558,3059234,3057737,3062545,3074026,3090937,3109791,3124395,3137083,3152397,3170224,3191551,3216353,3243567,3277945,3319836,3357076,3388045,3415316,3438339,3453692,3462190,3472726,3489656,3509789,3532658,3560254,3587916,3614445,3640237,3666532,3703530,3755515,3807657,3852525,3900652,3947348,3997836,4051258,4100831
Syrian Arab Republic,2232816,2307789,2385245,2465447,2548766,2635505,2725779,2819620,2917152,3018489,3123736,3233086,3346641,3464315,3585945,3711482,3840622,3973568,4111368,4255427,4406600,4565354,4730954,4901562,5074631,5248283,5421886,5595826,5770502,5946709,6125064,6304820,6485652,6669063,6857092,7050790,7252850,7462038,7670908,7869265,8050865,8204487,8333675,8464011,8631069,8855945,9161591,9529634,9890689,10149061,10242010,10139015,9877309,9545079,9267648,9135904,2359961,2434807,2512183,2592378,2675813,2762828,2853504,2947858,3046096,3148444,3255066,3366280,3482124,3602159,3725740,3852518,3981988,4114580,4251978,4396477,4549556,4711909,4882563,5059271,5238854,5418962,5598832,5778946,5959715,6142005,6326475,6512758,6700535,6890579,7083933,7281172,7483359,7689924,7897889,8103165,8303185,8489927,8663846,8840328,9040844,9276897,9566609,9895963,10206368,10417810,10478592,10362152,10101447,9777514,9504833,9366509
Tajikistan,1057329,1094887,1136161,1179898,1224291,1268044,1310662,1352557,1394439,1437417,1482267,1529293,1578141,1628151,1678364,1728152,1777354,1826397,1875960,1927005,1980288,2035433,2092296,2152065,2216272,2285662,2361102,2441311,2522247,2598438,2666006,2723684,2772761,2815133,2853845,2891379,2928109,2964058,3001011,3041055,3085745,3135897,3191475,3252051,3316745,3384826,3456441,3531675,3609621,3689103,3769305,3849558,3930074,4011983,4096943,4186014,1006706,1045526,1087795,1132295,1177307,1221604,1264673,1306895,1349022,1392224,1437319,1484663,1533900,1584295,1634780,1684667,1733696,1782364,1831664,1882986,1937354,1994671,2054627,2117710,2184471,2255026,2329811,2407942,2486580,2561937,2631280,2693870,2750446,2801664,2848766,2892951,2934115,2972722,3011297,3053071,3100407,3154516,3215043,3280820,3349883,3420829,3493125,3567346,3644451,3725857,3812391,3904367,4000855,4099911,4198897,4295841
